Source,Target,Frequency per week,,Distance (Km)
Mumbai,Bagdogra,14,,1792.573927
Delhi,Durgapur,7,,1162.262824
Hyderabad,Durgapur,4,,1147.565898
Agartala,Kolkata,78,,316.475118
Ahmedabad,Kolkata,35,,1619.9399
Aizwal,Kolkata,14,,446.2457827
Allahabad,Kolkata,21,,748.5543773
Amritsar,Kolkata,7,,1681.710004
Bagdogra,Kolkata,66,,447.8294308
Bangalore,Kolkata,142,,1569.203845
Bhubaneshwar,Kolkata,56,,381.9490867
Chandigarh,Kolkata,14,,1460.172672
Chennai,Kolkata,120,,1396.180409
Cochin,Kolkata,8,,1890.733138
Delhi,Kolkata,278,,1312.72301
Dibrugarh,Kolkata,26,,851.877619
Dimapur,Kolkata,13,,648.0839719
Gaya,Kolkata,13,,425.0075573
Goa,Kolkata,7,,1734.764561
Gorakhpur,Kolkata,7,,678.9396666
Guwahati,Kolkata,122,,498.2647013
Gwalior,Kolkata,7,,1110.021742
Hyderabad,Kolkata,65,,1191.506401
Imphal,Kolkata,26,,602.1429347
Indore,Kolkata,7,,1296.630247
Jabalpur,Kolkata,35,,861.6481553
Jaipur,Kolkata,43,,1356.739296
Jorhat,Kolkata,7,,735.0019712
Lilabari,Kolkata,7,,768.316026
Lucknow,Kolkata,30,,889.261216
Mumbai,Kolkata,169,,1665.506656
Nagpur,Kolkata,15,,984.4906199
Pakyong,Kolkata,7,,509.0235598
Patna,Kolkata,116,,471.9516432
Port Blair,Kolkata,61,,1306.199843
Pune,Kolkata,34,,1577.319542
Raipur,Kolkata,50,,711.0740385
Shillong,Kolkata,7,,493.0883244
Silchar,Kolkata,30,,525.0012152
Surat,Kolkata,22,,1628.728459
Varanasi,Kolkata,33,,646.9380658
Visakhapatnam,Kolkata,14,,772.6324371
Agartala,Bangalore,7,,1876.127499
Agatti,Bangalore,7,,642.6019178
Ahmedabad,Bangalore,89,,1245.108848
Allahabad,Bangalore,7,,1452.636887
Amritsar,Bangalore,7,,2106.534571
Bagdogra,Bangalore,21,,1888.455198
Belagavi,Bangalore,28,,461.8035016
Belgaum,Bangalore,2,,460.9794455
Bhopal,Bangalore,7,,1149.952209
Bhubaneshwar,Bangalore,52,,1187.719701
Bidar,Bangalore,7,,551.9388373
Calicut,Bangalore,14,,274.4805779
Chandigarh,Bangalore,19,,1972.771028
Chennai,Bangalore,129,,265.9969946
Cochin,Bangalore,70,,340.317321
