Source,Target,Frequency per week,,Distance (Km)
Bangalore,Udaipur,7,,1356.555533
Bhopal,Udaipur,7,,379.6831634
Delhi,Udaipur,59,,542.6084786
Hyderabad,Udaipur,7,,927.0727277
Jaipur,Udaipur,24,,311.4526809
Mumbai,Udaipur,35,,623.8733768
Surat,Udaipur,7,,407.1633743
Bathinda,Jammu,3,,268.9527765
Delhi,Jammu,56,,506.9978052
Gwalior,Jammu,7,,783.1362299
Leh,Jammu,10,,299.6213117
Lucknow,Jammu,7,,880.5342146
Mumbai,Jammu,90,,1524.922261
Srinagar,Jammu,53,,144.4496119
Amritsar,Srinagar,14,,253.1999614
Chandigarh,Srinagar,18,,414.2620518
Delhi,Srinagar,96,,641.9732455
Jammu,Srinagar,142,,144.4496119
Leh,Srinagar,2,,256.7910376
Mumbai,Srinagar,10,,1667.290942
Ahmedabad,Aurangabad,7,,457.6388426
Delhi,Aurangabad,21,,983.1170718
Hyderabad,Aurangabad,14,,419.9945863
Mumbai,Aurangabad,17,,278.8357177
Udaipur,Aurangabad,3,,550.8488805
Bangalore,Kolhapur,7,,550.0314341
Hyderabad,Kolhapur,14,,452.7850596
Mumbai,Kolhapur,5,,308.6409487
Tirupathi,Kolhapur,7,,656.9947527
Ahmedabad,Mumbai,90,,444.103412
Allahabad,Mumbai,7,,1153.076284
Amritsar,Mumbai,19,,1416.613811
Andal,Mumbai,7,,1570.254315
Aurangabad,Mumbai,10,,278.8357177
Bagdogra,Mumbai,21,,1792.573927
Bangalore,Mumbai,261,,853.7157828
Belagavi,Mumbai,7,,403.5440987
Belgaum,Mumbai,4,,404.271115
Bhavnagar,Mumbai,7,,304.5434841
Bhopal,Mumbai,28,,657.5916211
Bhubaneshwar,Mumbai,28,,1361.686898
Bhuj,Mumbai,7,,572.5910058
Calicut,Mumbai,14,,944.1657439
Chandigarh,Mumbai,56,,1347.11111
Chennai,Mumbai,154,,1035.826755
Cochin,Mumbai,56,,1063.843125
Coimbatore,Mumbai,43,,1001.79337
Dehradun,Mumbai,31,,1345.518182
Delhi,Mumbai,457,,1138.242189
Diu,Mumbai,7,,272.1118706
Goa,Mumbai,137,,424.8001046
Gorakhpur,Mumbai,7,,1376.674295
Guwahati,Mumbai,28,,2071.050026
Hubli,Mumbai,5,,476.6165756
Hyderabad,Mumbai,157,,618.6013398
Indore,Mumbai,38,,506.6689842
Kandla,Mumbai,7,,531.6143342
Jabalpur,Mumbai,7,,872.6195331
Jaipur,Mumbai,56,,911.2656213
Jaisalmer,Mumbai,7,,891.169593
Jalgaon,Mumbai,5,,354.89204
Jamnagar,Mumbai,7,,478.6071268
Jodhpur,Mumbai,28,,796.5941447
Kannur,Mumbai,7,,847.4894315
Kanpur,Mumbai,28,,1121.530122
Kolhapur,Mumbai,5,,308.6409487
Kolkata,Mumbai,178,,1665.506656
Lucknow,Mumbai,49,,1183.561464
Madurai,Mumbai,7,,1172.389606
Mangalore,Mumbai,28,,714.8093241
Nagpur,Mumbai,58,,683.2490424
Nanded,Mumbai,7,,469.3335806
Patna,Mumbai,70,,1448.749636
Porbandar,Mumbai,7,,439.3619778
Port Blair,Mumbai,7,,2282.55519
Raipur,Mumbai,14,,954.691551
Rajkot,Mumbai,18,,418.7486563
Ranchi,Mumbai,29,,1373.607133
Shirdi,Mumbai,7,,173.5606754
Srinagar,Mumbai,107,,1667.290942
Surat,Mumbai,7,,225.5537409
Trivandrum,Mumbai,30,,1257.589276
Udaipur,Mumbai,35,,623.8733768
Vadodara,Mumbai,21,,362.964124
Varanasi,Mumbai,43,,1247.207264
Visakhapatnam,Mumbai,12,,1102.808376
Ahmedabad,Nagpur,7,,697.3058004
Amritsar,Nagpur,2,,1254.35158
Bangalore,Nagpur,28,,917.043834
Bhopal,Nagpur,7,,301.5793159
Chandigarh,Nagpur,2,,1089.318483
Chennai,Nagpur,7,,916.9532434
Raipur,Nagpur,3,,278.568387
Delhi,Nagpur,84,,854.354056
Goa,Nagpur,14,,840.8360945
Hyderabad,Nagpur,7,,409.0882528
Indore,Nagpur,15,,381.5951049
Kolkata,Nagpur,21,,984.4906199
Lucknow,Nagpur,1,,657.5220332
Mumbai,Nagpur,57,,683.2490424
Patna,Nagpur,7,,793.4276762
Pune,Nagpur,40,,605.1071217
Raipur,Nagpur,7,,278.568387
Ahmedabad,Pune,41,,517.3420315
Bangalore,Pune,117,,743.5651383
Belagavi,Pune,6,,311.1161334
Bhopal,Pune,6,,632.0891538
Chandigarh,Pune,3,,1375.192179
Chennai,Pune,42,,915.5848158
Cochin,Pune,13,,974.6753283
Coimbatore,Pune,7,,904.2601652
Delhi,Pune,167,,1156.517653
Goa,Pune,19,,356.0607387
Hyderabad,Pune,34,,497.0091955
Jaipur,Pune,22,,936.740135
Jodhpur,Pune,6,,857.4305422
Kolkata,Pune,47,,1577.319542
Lucknow,Pune,7,,1156.281559
Nagpur,Pune,27,,605.1071217
Nashik,Pune,7,,170.2505031
Bangalore,Shirdi,19,,827.0194595
Chennai,Shirdi,14,,970.7750634
Delhi,Shirdi,14,,1024.264789
Hyderabad,Shirdi,31,,496.3419454
Indore,Shirdi,7,,367.8349828
Mumbai,Shirdi,7,,173.5606754
Ahmedabad,Nashik,12,,354.350337
Hyderabad,Nashik,7,,565.0585085
Pune,Nashik,3,,170.2505031
Hyderabad,Nanded,7,,226.5572036
Mumbai,Nanded,7,,469.3335806
Ahmedabad,Jalgaon,7,,387.2377803
Mumbai,Jalgaon,5,,354.89204
Bangalore,Port Blair,7,,1642.607308
Chennai,Port Blair,27,,1376.957646
Delhi,Port Blair,6,,2485.090816
Hyderabad,Port Blair,7,,1664.556269
Kolkata,Port Blair,38,,1306.199843
Visakhapatnam,Port Blair,5,,1225.735663
Hyderabad,Jagdalpur,7,,417.7293488
Raipur,Jagdalpur,7,,236.2339464
Ahmedabad,Raipur,7,,960.9843788
Allahabad,Raipur,21,,473.6906625
Bangalore,Raipur,14,,1012.08611
Bhopal,Raipur,7,,510.028767
Chennai,Raipur,7,,935.8046342
Delhi,Raipur,42,,944.9331987
Hyderabad,Raipur,28,,538.0543148
Indore,Raipur,14,,635.7477166
Jagdalpur,Raipur,7,,236.2339464
Jharsuguda,Raipur,7,,252.5600507
Kolkata,Raipur,21,,711.0740385
Mumbai,Raipur,14,,954.691551
Ranchi,Raipur,7,,438.9330995
Belagavi,Cuddapah,7,,471.2342238
Chennai,Cuddapah,7,,230.2318382
Hyderabad,Cuddapah,7,,328.8663726
Vijaywada,Cuddapah,7,,312.2016758
Bangalore,Rajahmundry,14,,642.2490378
Chennai,Rajahmundry,7,,501.5772783
Hyderabad,Rajahmundry,49,,357.7208859
Visakhapatnam,Rajahmundry,7,,164.2212086
Bangalore,Tirupathi,7,,216.8215718
Belagavi,Tirupathi,7,,585.4490821
Cochin,Tirupathi,6,,516.4955325
Delhi,Tirupathi,7,,1679.519441
Hubli,Tirupathi,7,,517.0596922
Hyderabad,Tirupathi,62,,440.0216068
Kolhapur,Tirupathi,7,,656.9947527
Vijaywada,Tirupathi,9,,348.9721984
Bangalore,Vijaywada,40,,521.1886165
Chennai,Vijaywada,14,,409.344922
Delhi,Vijaywada,14,,1390.882809
Hyderabad,Vijaywada,63,,268.0871054
Kadapa,Vijaywada,7,,311.9004313
Tirupathi,Vijaywada,9,,348.9721984
Visakhapatnam,Vijaywada,13,,290.2521762
Bangalore,Visakhapatnam,34,,798.1048179
Chennai,Visakhapatnam,27,,630.8665308
Delhi,Visakhapatnam,47,,1357.282939
Hyderabad,Visakhapatnam,92,,504.9878768
Kolkata,Visakhapatnam,19,,772.6324371
Mumbai,Visakhapatnam,5,,1102.808376
Port Blair,Visakhapatnam,6,,1225.735663
Raipur,Visakhapatnam,7,,414.1407224
Rajahmundry,Visakhapatnam,7,,164.2212086
Vijaywada,Visakhapatnam,13,,290.2521762
Bangalore,Ranchi,37,,1407.544097
Bhubaneshwar,Ranchi,7,,345.5032168
Delhi,Ranchi,98,,1007.78061
Hyderabad,Ranchi,14,,967.1257423
Kolkata,Ranchi,28,,327.9434646
Mumbai,Ranchi,26,,1373.607133
Patna,Ranchi,8,,253.9601703
Raipur,Ranchi,7,,438.9330995
Kolkata,Shillong,7,,493.0883244
Chandigarh,Dharamshala,6,,173.3270865
Delhi,Dharamshala,15,,408.1651206
Shimla,Dharamshala,3,,142.6641464
Chandigarh,Kullu,18,,138.2992917
Delhi,Kullu,21,,368.0878069
Shimla,Kullu,3,,88.77534636
Chandigarh,Shimla,6,,52.69980425
Delhi,Shimla,7,,279.6756152
Dharamshala,Shimla,3,,142.6641464
Kullu,Shimla,3,,88.77534636
Ahmedabad,Diu,6,,316.8022227
Mumbai,Diu,7,,272.1118706
Chandigarh,Leh,4,,392.4395279
Delhi,Leh,30,,621.4520169
Jammu,Leh,3,,299.6213117
Srinagar,Leh,2,,256.7910376
Delhi,Thoise,2,,677.2249569
Guwahati,Passighat,4,,430.4529911
Kolkata,Pakyong,7,,509.0235598
Bangalore,Pondicherry,5,,256.8773608
Hyderabad,Pondicherry,7,,626.6258156
