Airport Names	Airport(Arrival)	Frequency per week
Bangalore	Kolhapur	7
Bangalore	Kolkata	118
Bangalore	Lucknow	39
Bangalore	Madurai	26
Bangalore	Mangalore	68
Bangalore	Mumbai	341
Bangalore	Mysore	7
Bangalore	Nagpur	28
Bangalore	Patna	41
Bangalore	Pondicherry	6
Bangalore	Port Blair	20
Bangalore	Pune	116
Bangalore	Raipur	14
Bangalore	Rajahmundry	14
Bangalore	Ranchi	27
Bangalore	Shirdi	19
Bangalore	Surat	14
Bangalore	Tirupathi	7
Bangalore	Trichy	7
Bangalore	Trivandrum	51
Bangalore	Tuticorin	7
Bangalore	Udaipur	8
Bangalore	Vadodara	14
Bangalore	Varanashi	27
Bangalore	Vidyanagar	7
Bangalore	Vijaywada	40
Bangalore	Visakhapatnam	34
Belgaum	Ahmedabad	7
Belgaum	Bangalore	29
Belgaum	Cuddapah	7
Belgaum	Hyderabad	21
Belgaum	Mumbai	11
Belgaum	Mysore	7
Belgaum	Pune	7
Belgaum	Tirupathi	7
Hubli	Ahmedabad	7
Hubli	Bangalore	19
Hubli	Chennai	7
Hubli	Cochin	7
Hubli	Goa	7
Hubli	Hindon	3
Hubli	Hyderabad	7
Hubli	Kannur	7
Hubli	Mumbai	5
Hubli	Tirupathi	7
Mangalore	Bangalore	66
Mangalore	Chennai	14
Mangalore	Delhi	14
Mangalore	Hyderabad	14
Mangalore	Mumbai	35
Mangalore	Pune	7
Vidyanagar	Bangalore	7
Vidyanagar	Hyderabad	7
Mysore	Bangalore	7
Mysore	Belagavi	7
Mysore	Chennai	14
Mysore	Cochin	7
Mysore	Goa	7
Mysore	Hyderabad	14
Bhopal	Ahmedabad	14
Bhopal	Allahabad	7
Bhopal	Bangalore	7
Bhopal	Delhi	55
Bhopal	Hyderabad	14
Bhopal	Jaipur	14
Bhopal	Mumbai	35
Bhopal	Nagpur	7
Bhopal	Pune	6
Bhopal	Raipur	7
Bhopal	Udaipur	7
Gwalior	Bangalore	6
Gwalior	Delhi	3
Gwalior	Hyderabad	7
Gwalior	Indore	3
Gwalior	Jammu	7
Gwalior	Kolkata	7
Indore	Ahmedabad	54
Indore	Bangalore	28
Indore	Belgaum	3
Indore	Chennai	7
Indore	Delhi	81
Indore	Goa	14
Indore	Gwalior	3
Indore	Hyderabad	28
Indore	Jaipur	7
Indore	Kishangarh	3
Indore	Kolkata	7
Indore	Mumbai	37
Indore	Nagpur	8
Indore	Raipur	7
Indore	Shirdi	7
Khajuraho	Agra	3
Khajuraho	Varanashi	4
Jabalpur	Ahmedabad	6
Jabalpur	Delhi	14
Jabalpur	Hyderabad	14
Jabalpur	Kolkata	14
Jabalpur	Mumbai	7
Bhubaneshwar	Ahmedabad	6
Bhubaneshwar	Bangalore	49
Bhubaneshwar	Chennai	15
Bhubaneshwar	Delhi	58
Bhubaneshwar	Guwahati	7
Bhubaneshwar	Hyderabad	28
Bhubaneshwar	Jharsuguda	7
Bhubaneshwar	Kolkata	50
Bhubaneshwar	Mumbai	21
Bhubaneshwar	Nagpur	7
Bhubaneshwar	Ranchi	7
Jharsuguda	Bhubaneshwar	7
Jharsuguda	Raipur	7
Jharsuguda	Delhi	7
Jharsuguda	Hyderabad	7
Jharsuguda	Kolkata	7
Calicut	Bangalore	7
Calicut	Mumbai	7
Calicut	Chennai	7
Calicut	Mumbai	7
Calicut	Delhi	7
Calicut	Bangalore	7
Calicut	Chennai	7
Cochin	Agatti	7
Cochin	Ahmedabad	13
Cochin	Bangalore	77
Cochin	Chennai	76
Cochin	Delhi	56
Cochin	Goa	7
Cochin	Hubli	7
Cochin	Hyderabad	43
Cochin	Kannur	14
Cochin	Kolkata	14
Cochin	Mumbai	56
Cochin	Mysore	7
Cochin	Pune	13
Cochin	Tirupathi	6
Cochin	Trivandrum	14
Kannur	Bangalore	26
Kannur	Calicut	5
Kannur	Chennai	14
Kannur	Cochin	14
Kannur	Delhi	7
Kannur	Goa	7
Kannur	Hubli	7
Kannur	Hyderabad	21
Kannur	Mumbai	7
Kannur	Trivandrum	8
Trivandrum	Bangalore	39
Trivandrum	Chennai	41
Trivandrum	Cochin	7
Trivandrum	Delhi	14
Trivandrum	Hyderabad	7
Trivandrum	Kannur	8
Trivandrum	Mumbai	28
Chennai	Ahmedabad	75
Chennai	Andal	7
Chennai	Bagdogra	7
Chennai	Bangalore	154
Chennai	Bhubaneshwar	14
Chennai	Calicut	15
Chennai	Cochin	78
Chennai	Coimbatore	107
Chennai	Cuddapah	7
Chennai	Delhi	170
Chennai	Goa	27
Chennai	Guwahati	26
Chennai	Hubli	7
Chennai	Hyderabad	131
Chennai	Indore	8
Chennai	Jaipur	14
Chennai	Kannur	14
Chennai	Kolkata	102
Chennai	Lucknow	8
Chennai	Madurai	99
Chennai	Mangalore	14
Chennai	Mumbai	157
Chennai	Mysore	14
Chennai	Nagpur	7
Chennai	Patna	8
Chennai	Port Blair	69
Chennai	Pune	49
Chennai	Raipur	7
Chennai	Rajahmundry	7
Chennai	Salem	7
Chennai	Shirdi	14
Chennai	Surat	7
Chennai	Trichy	61
Chennai	Trivandrum	43
Chennai	Tuticorin	35
Chennai	Varanashi	18
Chennai	Vijaywada	17
Chennai	Visakhapatnam	27
